Rank,Title,Genre,Description,Director,Actors,Year,Runtime (Minutes),Rating,Votes,Revenue (Millions),Metascore
140,Brimstone,Mystery,From the moment the new reverend climbs the pulpit Liz knows she and her family are in great danger.,Martin Koolhoven,Dakota Fanning,2016,148,7.1,13004,0.5,44
141,Star Trek,Action,The brash James T. Kirk tries to live up to his father's legacy with Mr. Spock keeping him in check as a vengeful Romulan from the future creates black holes to destroy the Federation one planet at a time.,J.J. Abrams,Chris Pine,2009,127,8,526324,257.7,82
142,Diary of a Wimpy Kid,Comedy,The adventures of a teenager who is fresh out of elementary and transitions to middle school where he has to learn the consequences and responsibility to survive the year.,Thor Freudenthal,Zachary Gordon,2010,94,6.2,34184,64,56
143,The Big Short,Biography,Four denizens in the world of high-finance predict the credit and housing bubble collapse of the mid-2000s and decide to take on the big banks for their greed and lack of foresight.,Adam McKay,Christian Bale,2015,130,7.8,246360,70.24,81
144,Room,Drama,A young boy is raised within the confines of a small shed.,Lenny Abrahamson,Brie Larson,2015,118,8.2,224132,14.68,86
145,Django Unchained,Drama,With the help of a German bounty hunter  a freed slave sets out to rescue his wife from a brutal Mississippi plantation owner.,Quentin Tarantino,Jamie Foxx,2012,165,8.4,1039115,162.8,81
146,Ah-ga-ssi,Drama,A woman is hired as a handmaiden to a Japanese heiress but secretly she is involved in a plot to defraud her.,Chan-wook Park,Min-hee Kim,2016,144,8.1,33418,2.01,84
147,The Edge of Seventeen,Comedy,High-school life gets even more unbearable for Nadine when her best friend Krista starts dating her older brother.,Kelly Fremon Craig,Hailee Steinfeld,2016,104,7.4,47694,14.26,77
148,Watchmen,Action,In 1985 where former superheroes exist the murder of a colleague sends active vigilante Rorschach into his own sprawling investigation uncovering something that could completely change the course of history as we know it.,Zack Snyder,Jackie Earle Haley,2009,162,7.6,410249,107.5,56
149,Superbad,Comedy,Two co-dependent high school seniors are forced to deal with separation anxiety after their plan to stage a booze-soaked party goes awry.,Greg Mottola,Michael Cera,2007,113,7.6,442082,121.46,76
150,Inferno,Action,When Robert Langdon wakes up in an Italian hospital with amnesia he teams up with Dr. Sienna Brooks and together they must race across Europe against the clock to foil a deadly global plot.,Ron Howard,Tom Hanks,2016,121,6.2,97623,34.26,42
151,The BFG,Adventure,An orphan little girl befriends a benevolent giant who takes her to Giant Country where they attempt to stop the man-eating giants that are invading the human world.,Steven Spielberg,Mark Rylance,2016,117,6.4,50853,55.47,66
152,The Hunger Games,Adventure,Katniss Everdeen voluntarily takes her younger sister's place in the Hunger Games: a televised competition in which two teenagers from each of the twelve Districts of Panem are chosen at random to fight to the death.,Gary Ross,Jennifer Lawrence,2012,142,7.2,735604,408,68
153,White Girl,Drama,Summer,Elizabeth Wood,Morgan Saylor,2016,88,5.8,4299,0.2,65
154,Sicario,Action,An idealistic FBI agent is enlisted by a government task force to aid in the escalating war against drugs at the border area between the U.S. and Mexico.,Denis Villeneuve,Emily Blunt,2015,121,7.6,243230,46.88,82
155,Twin Peaks: The Missing Pieces,Drama,Twin Peaks before Twin Peaks (1990) and at the same time not always and entirely in the same place as Twin Peaks: Fire Walk with Me (1992). A feature film which presents deleted scenes from Twin Peaks: Fire Walk with Me (1992) assembled together for the first time in an untold portion of the story's prequel.,David Lynch,Chris Isaak,2014,91,8.1,1973,0.5,
156,Aliens vs Predator - Requiem,Action,Warring alien and predator races descend on a rural US town where unsuspecting residents must band together for any chance of survival.,Colin Strause,Reiko Aylesworth,2007,94,4.7,97618,41.8,29
157,Pacific Rim,Action,As a war between humankind and monstrous sea creatures wages on a former pilot and a trainee are paired up to drive a seemingly obsolete special weapon in a desperate effort to save the world from the apocalypse.,Guillermo del Toro,Idris Elba,2013,131,7,400519,101.79,64
158,Crazy,Comedy,A middle-aged husband's life changes dramatically when his wife asks him for a divorce. He seeks to rediscover his manhood with the help of a newfound friend,Glenn Ficarra,Steve Carell,2011,118,7.4,396714,84.24,68
159,Scott Pilgrim vs. the World,Action,Scott Pilgrim must defeat his new girlfriend's seven evil exes in order to win her heart.,Edgar Wright,Michael Cera,2010,112,7.5,291457,31.49,69
160,Hot Fuzz,Action,Exceptional London cop Nicholas Angel is involuntarily transferred to a quaint English village and paired with a witless new partner. While on the beat Nicholas suspects a sinister conspiracy is afoot with the residents.,Edgar Wright,Simon Pegg,2007,121,7.9,373244,23.62,81
161,Mine,Thriller,After a failed assassination attempt a soldier finds himself stranded in the desert. Exposed to the elements he must survive the dangers of the desert and battle the psychological and physical tolls of the treacherous conditions.,Fabio Guaglione,Armie Hammer,2016,106,6,5926,0.5,40
162,Free Fire,Action,Set in Boston in 1978 a meeting in a deserted warehouse between two gangs turns into a shootout and a game of survival.,Ben Wheatley,Sharlto Copley,2016,90,7,6946,1.8,63
163,X-Men: Days of Future Past,Action,The X-Men send Wolverine to the past in a desperate effort to change history and prevent an event that results in doom for both humans and mutants.,Bryan Singer,Patrick Stewart,2014,132,8,552298,233.91,74
164,Jack Reacher: Never Go Back,Action,Jack Reacher must uncover the truth behind a major government conspiracy in order to clear his name. On the run as a fugitive from the law Reacher uncovers a potential secret from his past that could change his life forever.,Edward Zwick,Tom Cruise,2016,118,6.1,78043,58.4,47
165,Casino Royale,Action,Armed with a licence to kill Secret Agent James Bond sets out on his first mission as 007 and must defeat a weapons dealer in a high stakes game of poker at Casino Royale but things are not what they seem.,Martin Campbell,Daniel Craig,2006,144,8,495106,167.01,80
166,Twilight,Drama,A teenage girl risks everything when she falls in love with a vampire.,Catherine Hardwicke,Kristen Stewart,2008,122,5.2,361449,191.45,56
167,Now You See Me 2,Action,The Four Horsemen resurface and are forcibly recruited by a tech genius to pull off their most impossible heist yet.,Jon M. Chu,Jesse Eisenberg,2016,129,6.5,156567,65.03,46
168,Woman in Gold,Biography,Maria Altmann an octogenarian Jewish refugee takes on the Austrian government to recover artwork she believes rightfully belongs to her family.,Simon Curtis,Helen Mirren,2015,109,7.3,39723,33.31,51
169,13 Hours,Action,During an attack on a U.S. compound in Libya a security team struggles to make sense out of the chaos.,Michael Bay,John Krasinski,2016,144,7.3,76935,52.82,48
170,Spectre,Action,A cryptic message from Bond's past sends him on a trail to uncover a sinister organization. While M battles political forces to keep the secret service alive Bond peels back the layers of deceit to reveal the terrible truth behind SPECTRE.,Sam Mendes,Daniel Craig,2015,148,6.8,308981,200.07,60
171,Nightcrawler,Crime,When Louis Bloom a con man desperate for work muscles into the world of L.A. crime journalism he blurs the line between observer and participant to become the star of his own story.,Dan Gilroy,Jake Gyllenhaal,2014,118,7.9,332476,32.28,76
172,Kubo and the Two Strings,Animation,A young boy named Kubo must locate a magical suit of armour worn by his late father in order to defeat a vengeful spirit from the past.,Travis Knight,Charlize Theron,2016,101,7.9,72778,48.02,84
173,Beyond the Gates,Adventure,Two estranged brothers reunite at their missing father's video store and find a VCR board game dubbed 'Beyond The Gates' that holds a connection to their father's disappearance.,Jackson Stewart,Graham Skipper,2016,84,5.2,2127,0.5,59
174,Her,Drama,A lonely writer develops an unlikely relationship with an operating system designed to meet his every need.,Spike Jonze,Joaquin Phoenix,2013,126,8,390531,25.56,90
175,Frozen,Animation,When the newly crowned Queen Elsa accidentally uses her power to turn things into ice to curse her home in infinite winter her sister Anna teams up with a mountain man his playful reindeer and a snowman to change the weather condition.,Chris Buck,Kristen Bell,2013,102,7.5,451894,400.74,74
176,Tomorrowland,Action,Bound by a shared destiny a teen bursting with scientific curiosity and a former boy-genius inventor embark on a mission to unearth the secrets of a place somewhere in time and space that exists in their collective memory.,Brad Bird,George Clooney,2015,130,6.5,143069,93.42,60
177,Dawn of the Planet of the Apes,Action,A growing nation of genetically evolved apes led by Caesar is threatened by a band of human survivors of the devastating virus unleashed a decade earlier.,Matt Reeves,Gary Oldman,2014,130,7.6,337777,208.54,79
178,Tropic Thunder,Action,Through a series of freak occurrences a group of actors shooting a big-budget war movie are forced to become the soldiers they are portraying.,Ben Stiller,Ben Stiller,2008,107,7,321442,110.42,71
179,The Conjuring 2,Horror,Lorraine and Ed Warren travel to north London to help a single mother raising four children alone in a house plagued by a malicious spirit.,James Wan,Vera Farmiga,2016,134,7.4,137203,102.46,65
180,Ant-Man,Action,Armed with a super-suit with the astonishing ability to shrink in scale but increase in strength cat burglar Scott Lang must embrace his inner hero and help his mentor Dr. Hank Pym plan and pull off a heist that will save the world.,Peyton Reed,Paul Rudd,2015,117,7.3,368912,180.19,64
181,Bridget Jones's Baby,Comedy,Bridget's focus on single life and her career is interrupted when she finds herself pregnant but with one hitch ... she can only be fifty percent sure of the identity of her baby's father.,Sharon Maguire,Renée Zellweger,2016,118,6.7,43086,24.09,59
182,The VVitch: A New-England Folktale,Horror,A family in 1630s New England is torn apart by the forces of witchcraft black magic and possession.,Robert Eggers,Anya Taylor-Joy,2015,92,6.8,101781,25.14,83
183,Cinderella,Drama,When her father unexpectedly passes away young Ella finds herself at the mercy of her cruel stepmother and her scheming step-sisters. Never one to give up hope Ella's fortunes begin to change after meeting a dashing stranger.,Kenneth Branagh,Lily James,2015,105,7,117018,201.15,67
184,Realive,Sci-Fi,Marc (Tom Hughes) is diagnosed with a disease and is given one year left to live. Unable to accept his own end,Mateo Gil,Tom Hughes,2016,112,5.9,1176,0.5,
185,Forushande,Drama,While both participating in a production of "Death of a Salesman" a teacher's wife is assaulted in her new home which leaves him determined to find the perpetrator over his wife's traumatized objections.,Asghar Farhadi,Taraneh Alidoosti,2016,124,8,22389,3.4,85
186,Love,Drama,Murphy is an American living in Paris who enters a highly sexually and emotionally charged relationship with the unstable Electra. Unaware of the effect it will have on their relationship they invite their pretty neighbor into their bed.,Gaspar Noé,Aomi Muyock,2015,135,6,24003,0.5,51
187,Billy Lynn's Long Halftime Walk,Drama,19-year-old Billy Lynn is brought home for a victory tour after a harrowing Iraq battle. Through flashbacks the film shows what really happened to his squad - contrasting the realities of war with America's perceptions.,Ang Lee,Joe Alwyn,2016,113,6.3,11944,1.72,53
188,Crimson Peak,Drama,In the aftermath of a family tragedy an aspiring author is torn between love for her childhood friend and the temptation of a mysterious outsider. Trying to escape the ghosts of her past she is swept away to a house that breathes bleeds - and remembers.,Guillermo del Toro,Mia Wasikowska,2015,119,6.6,97454,31.06,66
